user,XRD_Volume,swaps
rdx1qsp9tlw6pdtemzp397dctu456trlg8w8ameenwse0z2k93w6fvawjaqenhgjk,32160.433963255320116936,73
rdx1qspgy3d59j9ext52dngmyhw7pxcmcxxy9ufp6skzznx5px9wque6j2cw98d8k,32108.079384935804486369,82
rdx1qspk538qnrw6dg2kn9rrfy6n9dvqyx5234q2ywx568ztqjkxlvn6c6qqrkcef,31602.480952951743521726,90
rdx1qspazyfwe9gtgjv3wmezf52c5a40zm3vkuzxx4kfczcf0t2mr2ecccs3rftcp,31551.243795966249868589,103
rdx1qspcpt49609ly9sk6gtmvsc4zvczwszefj74xrluarq80k324pa57ygkc58qz,31490.000000000000000000,24
rdx1qsp0kktq49w35mh55spqj7kayeufrp6njzwfn7488uc3v60acjmnlgc0x4vmf,30561.567517961358324289,73
rdx1qsp30f47qy76lsh6nalfaefrg6tn7t42eg5ysx83pepkwpv3a7m5husp9l6jw,30002.893435875817308377,91
rdx1qspfa0l6jmze2yr9fg6llcatm23t9wmflc3ecjfr0700w7jkgengfagcfe8s6,29706.000000000000000000,62
rdx1qspm82nhy99yr3jumxjsm72a7af7xsezd84c2mrz0udptc2s3x3kdwc4u2aer,28716.407780572127820396,53
rdx1qspgex53r5rtm4dt0mjdl6ftyqwl2hel4ppjhky4jf35d09ylsyd5pqrj728p,28643.540930490427571020,66
rdx1qspn70eefr2k4dm2zutlggfvdsl2a45haa4l3k5z9w6304p7pdfwp3sl9mvyr,27031.303268965307321830,38
rdx1qspkr7cxlahq2a79lks7vqpmv2zwcedxsu00khrmftuanjddylhth9chgkm3c,26725.290151395186031334,189
rdx1qsp4jtpmgq9346zd98gvqw6rwduysa3t7jel7dadneyt5z8h4ln6vrq5t87uy,26262.800490016668367210,55
rdx1qsp8t435450qddr3vfg0cyqww0vt2hdemz38tsm2e8tazkrupz0np2q2lg056,25631.875694328440104553,71
rdx1qsp3jsksvln46un3lc8xvj8d98hjhcmlg4meg2vafcjfhzyyq3a9engyjsk99,24771.484713574050075588,116
rdx1qsprcd5cv5y7v8ekzxkh6s2p2gy7knl0ctlqq3yztmqsvalxn7rehrqj2y0gw,24625.974825740297865106,61
rdx1qspyk7g34cazdeyzxzdldrd6506gulpwusum00mvqpytfvmwgz4c8pqe8l7e0,24586.938142227541185914,74
rdx1qspcu3wqnh49q65qz9gzxa467th89307352upejg4j3gtl55sjn48fc99d8j2,24482.722792217386364916,215
rdx1qsplsxtcdwgr6uurvnajmn6m34y6dsjxqs7ejqezr2hzlcsqalmffwcymxlqr,24442.171481928777453923,42
rdx1qspdp7knlu4fvr73myr0nt2c34y6mtukgjxd338wlgj7ccntewfyxuqfgs2dg,24388.969153546063696171,54
rdx1qspuvch2gpr37pv2fty8qrl3vvcyax9a3ncl6m6s4wra3avhsm5nxdswl8rdl,23990.848265219492752935,61
rdx1qspgvl554pvk3n9ly8vhafxdn3ut52fzr7fhf4wp9gef5lesdnxh7qsnfd6p0,23150.000000000000000000,50
rdx1qspg00egrz9q3x2gldmgsmexulzaf2pgprh885z4s5s48enzdxnnr6gxw6vsa,23104.214866473973454113,67
rdx1qsp49368dqzxdp4mnkjcpal43ae9htasr6ja3zqfwnvpzez679zmm4syyk2as,22905.689736259346529410,54
rdx1qspcganl8pnvrfcx932dmkazhumwfv2g0247gd8xp36sg6v5yd7pm0gds5wdq,22709.552759342102267544,66
rdx1qsp2rhk4jxncnpy3mcmuus65u73548qz3tns49x3g4hcm7z5j3d6axsujmdvl,22405.662609706047482920,87
rdx1qspqa20jcdqpgdw52a20akc30sc5jr7gxc3uxcmlzx3slwp45nh6s0s9mppnj,21768.071093466600546489,65
rdx1qsp0vmw2gj2k9jfvhus2pmm9fvrcn37rzmvr86ckfcyqtf5un3uhmcqh6yryd,21464.544633312921582003,109
rdx1qspkvawyrz57nq58wxh6vlj0fprwvzhfksuf237nlytymzkt0pz6g2s7syrpn,21256.502038473424906845,61
rdx1qspssffszp4kfqderk50v68nn3e8vcwc9na47en94dl8wfl7saz2dmsrheh9l,21102.506341293920552168,55
rdx1qspllyx35c9p30e3wmhzfgfplx9c4wskp3hzj2vjhj2trqpk6rh3kggpk7kpy,20893.849967767457771813,57
rdx1qspxw5jfgj7nepu784u0lmsnyea0gsjrajsgv6jlvgrjcu85w3j3tygtlz9ah,20640.160183515408819009,93
rdx1qspag3wwqh9watfwn44zn5sg7hkqp3dv7zr74zsekpa8mt7p34gy7lsxatrnp,20605.180640616927342279,199
rdx1qspzryy6w6psq7gk998pcmd3tl4na5sjxke7yjj0jlzhufrrqvehf3qxt62v4,20566.929335012561907551,54
rdx1qspyx0nzwgt3za6ea643wgyzd7zz9y52w49d6eax5s7ghvawngp684qzke927,19492.781023407065175979,49
rdx1qsp6wwvr5yzfrvpefghkhf2c0nh8mcya27ze8mlttgxl2vu59pf8rtcjlkqqf,19032.073385506602294962,45
rdx1qspu96lxhga02277pvn6qj7rgp2s6muvh9lksakkzj4rd02wg592cws0pnxxe,18954.536707521661179346,93
rdx1qspj9va4warz38akmqupjmzk9aem8llcv7xnfcwzvc6ftq2nr23fsag9tu7ee,18830.000000000000000000,32
rdx1qsphp4tmr74yzxx8zndgfyk4m5nkmfr06tlw8cjjqs0rwgrxc4fd0rsfhflhw,18724.087485572504510966,51
rdx1qspcpgg5rpxd5pmrjtawvvu26fjuy7ans4ed8kcdr9yj2suul8jrdrgvvs0wz,18467.454606467937959787,48
rdx1qsp2zwfdjkalukxkg93ye5t6k9rpc4krt9lrrckrv8mugrtsnlvm7ec465z8h,18231.376572261429196748,41
