address,total_staked
rdx1qspnwke9nfh469nfgqwhujlzdcrjvps0wumq7t8vk5j60k5lx9jmrssk937mm,8661911.6521
rdx1qsp0wrguw8v36nxcwakvk47efzmk7f6rq3j4vga93gz3ze7jw984e3snzs3ke,8595978.25888
rdx1qspxu9tnacswkc4xv9k9g9r0kxacqu403aksld68s2xerjh09ed8q2cnkxjzs,8514866.77363
rdx1qsp8awvf3xyjupuver6wzqvcs7lnxjk072ds4vw6ctj9fhwmg7adntsx06ly7,8499151.61384
rdx1qsp7rrudrsafy43ce03485ggpkh2q29rk88d7pzlq7r0fpkrjfgftrqplk2fy,8480952.40694
rdx1qsp8akn0aswtjztg0ekvfrx6l6u2quez6tmdctnyta9e0843qenhn2cyazuk9,8230992.69927
rdx1qspqwmnzhjfn23lsaaskg8edszm4lq4djjzhqqgxdcw57w25f6keq7guzmafq,8068037.27918
rdx1qspyut335mvuuukcuh2scw5rhxgqlkwm5dpc244j64hhzyx8gw6hnngr5jsyw,7913575.64386
rdx1qspe5689xrg9prnk57sa6296nq3k7sr9vvtfdwyqhzulc3snx9l45fg5v7mna,7609467.94743
rdx1qspxucylmhup732069sszrer2j3klah47kq8jsm8pfeh0lsslqqap8swhc2m4,7601065.75828
rdx1qsp87a4x4g2dfq76un5zdd49lqe68emwdnv8k0wld2rqnaee07rwpvsqp6v5n,7550105.27819
rdx1qspj2czj55ltvvzv48etjzqhpsz6fgx3scxwag2qxh69xnm7n9d5fkqkvgz4h,7466470.96625
rdx1qsp30a948nxzkm6wketqe35uqh66hxrcr024nnfc2x0yp3t0we6dzasnr49cq,7021619.30008
rdx1qspg3p9nhaadwdfg5snp0kd8cjp70mpp579lqc6jyrpl52s7n8cpl5gaw3d9t,7016796.35219
rdx1qspu2767p9s8qs5llprkfx84wlcwf8nygqjc7xdhc6aevkpl84n3w0cz2wgku,6984086.11281
rdx1qsphtrvmzkpt3uw2my9h4u9amc9vatktw5zvldpn66pmv8hadzjcucs0nf0xj,6755849.36094
rdx1qspf6jq5cvsnne3zk4vzve7glv0cz2v48fqlg0p9mgxuzfmy2z7q0kc76kqkj,6584068.36875
rdx1qspqkpcggh5xwrw6jjmsxcdyseg0jlydrgjtgzgt6fs067885ugjxjs8zk0jd,6516610.97488
rdx1qsphysnp3fe0x2v5x8ju305687yu9zu4xtp8vfwm6eyy3740k0kzh0q85m2cv,6289441.04599
rdx1qspaz0t8a5v5gh0uh3wuyn6tep6lcumt7thxdcxds9ltlftqa50knas2f8hm3,6120897.34435
rdx1qsp2wdarmz2vfpuy6mtcymvaaghljgxrjfmswn374wg85rchvuu0nsc7d56lq,6046251.8891
rdx1qspj7jz0nmt4r9wrmqu2rjr6ndkdm5kf97an2fyuvq6hfcp05h0gn3q6k0q9s,6020125.18188
rdx1qspvtwedqgzwag0ul5gue5mxwnfew9j5700fe5a0t9r526dq38tp0ug98ggnh,5997992.66704
rdx1qspewf6s7e7240tn053d24gpglrq953arukjv6kylyc7mzsqjvxu9ac8gsq7v,5962789.33997
rdx1qsprrrd4kxa002xrm6kdduay43qzfx9hs60wvav95vlejz4x9z67esczf2hd8,5883084.12517
rdx1qspzqy5y85ggytppu8dmg6vtj4yryf7uvs9kf77pvqhf4qnt5w28azgg9ewuv,5748525.29945
rdx1qsp3fdhv0y5ksml9fy89k6nf09pywqc4fv30ghmf8s5jve73v98734cy5tvky,5377384.275
rdx1qsp8pgmj5la0y7c2skmdwlp4wzu82nk6n6dx4wnlgnp7fw2vjfqkfgscxmaah,5145037.32299
rdx1qspp67d0u6s8ra04ne2xljaf6y92uxpchq9qku02v5czdfhmrjvunlsek2h3w,5098206.3763
rdx1qspr6vysn2w2z3zcgnkzfxzkk2shjl9n0clnxuunc4greav9vgt9zlgjl6666,5057009.85461
rdx1qsphq0w2dvpx4smky7u80rv3xm4rj9wf38cpu58u5yw3ku2hlzhnuxq8mtt0f,5057009.85461
rdx1qspjjad9leuvuu72hxsey7pqe67gtqpemk53p0uc2fpzy9w0sy48xugh2y2v9,5048612.08175
rdx1qsp7lv6vrfmtvuvpqz0647wnnn2nw9s3ru2my48rcyrqcz0grfppu0cq66yry,4942660.2629
rdx1qsp8zfmgv4wd0qtkuq5rdkjx6se32jm5f9u04pugazw9mvcxzumkg4sv8w4ta,4614803.02435
rdx1qspw07wydl44v06n8vqe54hqce43dcqhf5lyumgjmpmz22x3llapjjs48s94w,4527117.22487
rdx1qsp9fqam570957zpjra5ssh926j54uy4kgh9gmechluhvhlmp5mddlst0he0k,4516811.87895
rdx1qsp8k4xdgu4zw9cur6rkuq2wm49nnsn28p0qegru2tl6vhu6rhzl5gcshw4nd,4496680.68717
rdx1qsp27wx6kusdmhltttp49ue42elj4nqrx6yuk3jnhsgq7e3nwunr4lqlhya0z,4448269.54757
rdx1qsp3me30jgumsv7see98rfx8aua3vq0js8mdnscy339w89pd6tygk9s82e9xl,4400113.66093
rdx1qspghulclyam7vh05svwau99dqkpu950ptgwlherv0uhrzudk3x5fpgztnd8w,4379273.49199
rdx1qspg6fet2ee97qn0mxpsykj9k3mqrmdyhx2lcx9200tx07a04mcat3sw0atkn,4324824.70437
rdx1qspwjj9sg3tvxuccnktyg2a8z5auuat2c2rwkh4mslsen0fw0wld53q03q2j2,4240637.42511
rdx1qspw356fe6sa6udkw8dtgzvq74en6s32r7zgn9pusqtzhfpeseng98cgxrlv5,4210289.02664
rdx1qspdggszhlhmg86l0a9fqqwcl70vsj4hneefn0x23vh6rtc49uk0qgs9j7v52,4188319.44963
rdx1qsp6x6032jc3rll07cmagzcy2j36d99wz9dlwzxtgz6kx8sttsulg6gxfqylg,4159159.45475
rdx1qsp24v7ejgyu7j0j0q4eaqq3f88hzgqa0s48er5jqfefwm4eaxgzpes5h5g9c,4118616.8044
rdx1qsp4mnq55f7qvnlnsp5e4drzxsw9ajeynwwqr4cuhycejrvjz9s0c5ggzec3h,4091246.6828
rdx1qsp9zeq0zjmug2qtz0hk5q8kuwc92gv5p6cr9xkxsq6uf5cwnnx8z9swc9tw4,4073074.95205
rdx1qspuvn85gtuytk06nr7jk7rysnxwx8temcdcttnwnqeyppaa05mlq8qkwecgq,4020255.05833
rdx1qsp728h06uyan9u7wpvkwu6hh9h2e3zrsm8qxzcgspp0puuaae57vwsl2hpxe,4000000
rdx1qspgt50q7kxqhmcj5taa7p9rhmq4qv3ajgj6lfuu85wv0rf4d8a9dug23nyzq,3961598.76876
rdx1qspm5ch2uyn8aky7lwjupavzp6f5v5h4sf5vqz5u00n3a85atvnkx2g3halm3,3961570.05742
rdx1qspgcydsl2ye686hsycy0hzljqnyl23klet8y0mf60nhxj0fwxm7unq2wlmxk,3943108.4836
rdx1qsp6tmjeulphaj578q63vt9tfcd6pnrxs2cszdgnzp8umg7wyjhwgjqhavkwf,3913400.44179
rdx1qspxy0wmlkxpr9t9dekymyzqwnf7xa65vkfvdnt8pthw40z4v63wnag6acqjy,3893315.96972
rdx1qsp3jsckhmhm7uyvx9ga7sgsn04qaa4nwjvk8ylxra465v3xee3376gaf53rl,3825592.05988
rdx1qspqcz0egqhnhtpks7se4nacaemmf78q4fu522uyrp4sech6yvkjsnq8apzjy,3717620.21168
rdx1qsptzay9m3de57du6yrspyxsyku09r5msr48ewuucpyp7eue6hc3scspcu6t9,3681456.61474
rdx1qspnydeppyhr5e3hfc3mhjygxakfy9rqz2mnmjjyf443p4tyxu6l95gq7gfnn,3649178.78234
rdx1qspj7mw5tu7haamu47yl85x8hukd404dqt6hefk6tnuydvcrxkjwcysp8mvl0,3637631.57023
